Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v5   2449091.934 B 15.561
v5   2449091.947 B 15.671
v5   2449091.961 B 15.752
v5   2449091.976 B 15.821
v5   2449091.990 B 15.899
v5   2450622.777 B 16.317
v5   2450622.791 B 16.335
v5   2450622.805 B 16.379
v5   2450622.818 B 16.380
v6   2448755.668 B 15.820
v6   2448755.683 B 15.913
v6   2448755.698 B 15.987
v6   2448755.714 B 16.054
v6   2448755.751 B 16.188
v6   2448755.765 B 16.229
v6   2448755.794 B 16.337
v6   2448755.808 B 16.374
v6   2448755.844 B 16.417
v6   2448755.858 B 16.428
v6   2448755.886 B 16.419
v6   2448755.900 B 16.401
v6   2448755.913 B 16.401
v6   2448755.927 B 16.422
v6   2448755.942 B 16.386
v6   2448756.662 B 15.618
v6   2448756.676 B 15.711
v6   2448756.708 B 15.888
v6   2448756.722 B 15.949
v6   2448756.753 B 16.078
v6   2448756.767 B 16.136
v6   2448756.781 B 16.185
v6   2448756.795 B 16.243
v6   2448756.810 B 16.309
v6   2448756.825 B 16.354
v6   2448756.840 B 16.364
v6   2448756.853 B 16.412
v6   2448756.867 B 16.430
v6   2448756.881 B 16.424
v6   2448756.895 B 16.423
v6   2448756.910 B 16.416
v6   2448756.925 B 16.419
v6   2448756.939 B 16.429
v6   2448757.639 B 15.229
v6   2448757.654 B 15.353
v6   2448757.763 B 16.012
v6   2448757.777 B 16.069
v6   2448757.830 B 16.256
v6   2448757.872 B 16.371
v6   2448757.886 B 16.385
v6   2448757.900 B 16.414
v6   2448757.914 B 16.430
